duration,title,rank,author
04:59,一千零一个愿望 (单人版),1,杨丞琳
04:53,戒烟,2,李荣浩
03:19,我多喜欢你，你会知道 - (网剧《致我们单纯的小美好》推广曲),3,王俊琪
05:07,永恒的印记,4,张信哲/张艾嘉
03:32,多想留在你身边,5,刘增瞳
03:28,Flo Rida,6,Higher Brothers
04:50,猎户星座,7,朴树
04:02,沙发 - (Sofa),8,金玟岐
02:49,Parties,9,Jake Miller
06:44,没时间干,10,汪峰
03:37,Without Her,11,周兴哲
04:26,I Will Be Good,12,黄绮珊
04:00,从不停歇,13,鬼卞
03:56,蓝色降落伞,14,周深
03:30,7538(Me U-Remix),15,KT/长气制作/Chiu Chiu
04:48,2030,16,顽童MJ116
04:36,骆驼,17,薛之谦
06:02,静下来,18,赵雷
04:13,城市之光 - (电影《心理罪之城市之光》主题曲),19,李健
04:53,明天,20,王诗安/王蕾/方大同
03:13,一场恋爱,21,百变
04:00,你好前任,22,陈雪凝
03:46,我想我挺好的,23,艾怡良
04:12,让我好好看看你 - (Read You Closer),24,许茹芸
07:47,得不到你,25,Fine乐团
05:14,如歌,26,梁文音
03:48,谁是英雄 - (游戏《谁是英雄》主题曲),27,萧敬腾
03:20,宣言 - (The Vow),28,蔡佩轩(Ariel Tsai)
03:00,Yet Not A Touch - (电影《假如王子睡着了》插曲),29,关喆
01:36,失控（LOSE CONTROL）,30,小白羊HUSH
04:05,差一步,31,大壮
03:19,青柠,32,徐秉龙/桃十五
04:17,断线,33,Shang/lil sophy
03:39,SLASH,34,艾福杰尼
03:22,Almost Human - (《银翼杀手2049》电影插曲),35,Lauren Daigle
03:22,Didn't Feel A Thing,36,Future Duper/Emilie Adams
03:24,Paris in the Rain,37,Lauv
03:28,你根本不懂,38,季彦霖/箱子君
02:54,遥远的歌 - (连续剧《你好，旧时光》片尾曲),39,刘惜君
03:25,相思沫若相见,40,徐千雅
02:57,Pumped Up,41,Klingande
03:34,广东十年爱情故事,42,广东雨神
03:24,I'm OK (Nysveen Remix),43,Nysveen/Manila Killa/AObeats
04:13,绝不会放过,44,王亚东
03:53,Darkside,45,Ty Dolla $ign/Future/Kiiara
02:26,Rain - (《银翼杀手2049》电影插曲),46,Hans Zimmer/Benjamin Wallfisch
03:24,My first song,47,麦小兜
03:23,Everyday Is Christmas,48,Sia
02:59,Red Lights,49,Le Boeuf/Natali Noor
04:41,路过南京，路过你,50,江皓南
03:14,十月，霪雨缠绵,51,紫竹笛韵
04:29,再见,52,秦洋
03:19,Havana (Remix),53,Camila Cabello/Daddy Yankee
04:04,勿念,54,PRC/PRC 巴音汗/PRC 光光/PRC Mission
04:03,低俗小说,55,Shang
03:30,HOLD ME TIGHT OR DON’T,56,Fall Out Boy
02:40,365天,57,CG
04:31,逝去的歌 (Live),58,牛奶咖啡
02:14,Havana,59,Madilyn Bailey
03:14,这只伶俐的棕色狐狸跳过一只懒惰的狗,60,黑羊/李彩瑞
02:53,Échame La Culpa,61,Luis Fonsi/Demi Lovato
04:25,三角题,62,二珂
03:38,爱你的我十八岁 - (连续剧《你好，旧时光》插曲),63,左颜
03:06,Talk To Me,64,执纸大魔王
04:26,遗忘,65,庆庆
03:40,走心小卖家,66,张雪飞&菜刀
04:51,项羽虞姬 - (《王者荣耀》项羽虞姬英雄主打歌),67,毛不易
05:09,飞蛾扑火,68,郭旭
03:33,❤那你呢❤ Prod By 队长,69,穿校服的饶舌歌手（牛牛）
03:32,时钟,70,不靠谱组合
04:25,どんな星空よりも、どんな思い出よりも - (TV动画《如果有妹妹就好了。》片尾曲 / TVアニメ「妹さえいればいい。」EDテーマ),71,結城アイラ
03:19,Palm Blvd,72,Jake Miller
03:59,不想,73,郑诺奇
04:22,礼貌一点,74,是阿涵阿
03:37,春风曲（Unplugged）,75,晓月老板/宁夏
02:49,Anyway,76,Tyron Hapi/Mimoza
05:20,孤岛,77,香蕉鱼乐队
04:25,3AM,78,AGA
04:23,fake town baby - (TV动画《血界战线 & BEYOND》片头曲),79,UNISON SQUARE GARDEN
03:15,Don't Put It On Me,80,Transviolet
04:14,路过而已,81,执纸大魔王
04:10,末梢,82,泥鳅
02:20,滚！,83,Dobi
03:59,男孩,84,梁博/陶孟童/肖和东/高誉容
04:52,一晃眼 - (Blink Of An Eye),85,卫兰
03:54,时光遐想 - (连续剧《你好，旧时光》主题推广曲),86,许飞
03:34,Spotlight,87,顽童MJ116
05:31,ONE,88,Aimer
04:48,是风动,89,银临/河图
03:43,迷途之中,90,李上安
03:30,钢琴哭 - (Piano Cry / TVB微电影《爱情来的时候 韩国》主题曲),91,钟嘉欣
03:19,分寸,92,李鑫玲
04:46,八零后,93,一指团体Afinger
04:22,哭给你听,94,金志文
03:25,Good Together,95,Shy Martin
04:30,未至 - (电视剧《夏至未至》插曲),96,郁可唯
03:37,Superstar,97,Beatrich
02:18,鸽子,98,徐秉龙
03:17,Truth,99,TroyBoi/Ekali
02:37,You Make It Feel Like Christmas,100,Blake Shelton/Gwen Stefani
